Project,aic,filter,exist,ForLoopToFunctional,Errors
rest.li,22,2,10,221,60.0
heritrix3,25,0,0,19,8.75
azkaban,0,1,0,118,18.5
rxjava,0,0,0,66,15.25
jackson-core,0,0,0,0,11.75
simple-binary-encoding,0,0,0,10,9.5
pdfsam,0,0,1,0,69.75
fitnesse,0,1,3,85,8.75
libgdx,211,2,1,99,20.0
deeplearning4j,13,4,12,290,135.0
truth,0,1,1,17,4.0
druid,34,0,8,324,19.5
mockserver,6,0,7,32,7.5
zxing,0,0,1,13,5.0
spock,0,0,2,37,7.25
roaringbitmap,0,0,0,21,8.0
canal,7,1,2,36,12.25
byte-buddy,13,0,20,72,63.25
wiremock,22,0,3,27,2.25
initializr,0,0,0,7,15.75
jeromq,0,0,0,20,6.5
mapstruct,0,2,5,92,26.5
retrofit,0,0,1,11,4.0
omni-notes,0,0,4,3,2.75
spring-batch,2,1,4,120,107.0
gephi,18,4,10,66,10.0
robolectric,0,0,6,73,18.75
async-http-client,0,0,0,25,3.0
mongo-java-driver,0,1,2,106,88.0
fastjson,14,0,1,16,15.5
jackson-databind,0,1,3,30,16.0
mockito,64,0,3,37,6.75
scribejava,0,0,1,5,0.0
twelvemonkeys,10,0,4,11,9.75
auto,0,1,0,12,14.75
swagger-core,0,13,3,10,42.25
teavm,3,2,4,137,33.25
spring,0,0,0,4,1.0
terasology,0,6,6,116,150.5
universal-g-code-sender,38,0,0,21,9.0
opengrok,0,1,4,56,11.25
oshi,0,1,1,20,19.25
soot,50,10,13,239,77.5
jedis,4,0,2,23,4.25
jadx,10,1,10,81,22.25
android-imsi-catcher-detector,1,0,0,4,1.25
ambry,4,2,0,172,39.0
cat,0,1,4,138,28.0
